k,ruta,paso,sim
23,REM,3,0.1765190213918686
23,REM,4,0.02726213075220585
23,REM,5,0.02058214694261551
23,REM,6,-0.03296075388789177
23,SWS,0,1.0
23,SWS,1,0.7204079627990723
23,SWS,2,0.4026111960411072
23,SWS,3,0.2186378538608551
23,SWS,4,-0.045822352170944214
23,SWS,5,-0.13463960587978363
23,SWS,6,-0.10621181130409241
24,REM,0,0.9999998807907104
24,REM,1,0.7448554635047913
24,REM,2,0.486627459526062
24,REM,3,0.27409568428993225
24,REM,4,0.1616988182067871
24,REM,5,-0.053380098193883896
24,REM,6,-0.0995791032910347
24,SWS,0,0.9999998807907104
24,SWS,1,0.6981855034828186
24,SWS,2,0.3414507210254669
24,SWS,3,0.08758559077978134
24,SWS,4,-0.02400457300245762
24,SWS,5,-0.1536371111869812
24,SWS,6,-0.16401569545269012
25,REM,0,1.0000001192092896
25,REM,1,0.6838992834091187
25,REM,2,0.4645807147026062
25,REM,3,0.13735970854759216
25,REM,4,0.0715755894780159
25,REM,5,0.18566206097602844
25,REM,6,0.07635544240474701
25,SWS,0,1.0000001192092896
25,SWS,1,0.7249693274497986
25,SWS,2,0.4425993263721466
25,SWS,3,0.3665909469127655
25,SWS,4,0.061497412621974945
25,SWS,5,0.32896459102630615
25,SWS,6,0.2511161267757416
26,REM,0,0.9999998807907104
26,REM,1,0.7175836563110352
26,REM,2,0.44309717416763306
26,REM,3,0.1705019623041153
26,REM,4,-0.05328833684325218
26,REM,5,-0.05764209106564522
26,REM,6,-0.06057141348719597
26,SWS,0,0.9999998807907104
26,SWS,1,0.7308233976364136
26,SWS,2,0.3550308644771576
26,SWS,3,0.33187004923820496
26,SWS,4,0.0969526469707489
26,SWS,5,0.1668764054775238
26,SWS,6,0.12598039209842682
27,REM,0,1.0
27,REM,1,0.6752810478210449
27,REM,2,0.4201492965221405
27,REM,3,0.1352713406085968
27,REM,4,0.14392994344234467
27,REM,5,0.16139034926891327
27,REM,6,0.11660759150981903
27,SWS,0,1.0
27,SWS,1,0.717410147190094
27,SWS,2,0.4186176359653473
27,SWS,3,0.1949680894613266
27,SWS,4,0.16864612698554993
27,SWS,5,0.12147565931081772
27,SWS,6,0.042502354830503464
28,REM,0,0.9999998807907104
28,REM,1,0.7353938817977905
28,REM,2,0.45906680822372437
28,REM,3,0.28692418336868286
28,REM,4,0.10861051827669144
28,REM,5,0.12211411446332932
28,REM,6,0.08013521134853363
28,SWS,0,0.9999998807907104
28,SWS,1,0.6856358051300049
28,SWS,2,0.3456849157810211
28,SWS,3,0.220030277967453
28,SWS,4,0.07590916752815247
28,SWS,5,-0.12768511474132538
28,SWS,6,-0.17108507454395294
29,REM,0,1.0
29,REM,1,0.64593106508255
29,REM,2,0.3753437399864197
29,REM,3,0.24021324515342712
29,REM,4,0.04850810766220093
29,REM,5,0.21089747548103333
29,REM,6,0.19379739463329315
29,SWS,0,1.0
29,SWS,1,0.6858054995536804
29,SWS,2,0.36398032307624817
29,SWS,3,0.024442382156848907
29,SWS,4,0.1693582832813263
29,SWS,5,-0.10111679881811142
29,SWS,6,0.04286820814013481
30,REM,0,1.0000001192092896
30,REM,1,0.7073790431022644
30,REM,2,0.42339953780174255
30,REM,3,0.05426831915974617
30,REM,4,0.14561711251735687
